continent,cases,deaths,recovered,active,year
Africa,11103918,238508,0,10865410,2022
Asia,201371304,1484658,0,199886646,2022
Australia-Oceania,13301653,20265,0,13281388,2022
Europe,244010150,1991270,0,242018880,2022
North America,118896880,1549034,0,117347846,2022
South America,66765200,1341262,0,65423938,2022
