country,cases,deaths,recovered,active,iso3
Ghana,171048,1461,0,169587,GHA
Greece,5548487,34779,0,5513708,GRC
Guatemala,1204132,20001,0,1184131,GTM
Guyana,72163,1286,0,70877,GUY
Honduras,465915,11071,0,454844,HND
Hungary,2185816,48495,0,2137321,HUN
Iceland,207974,229,0,207745,ISL
India,44679873,530705,0,44149168,IND
Indonesia,6719815,160612,0,6559203,IDN
Iran,7561140,144685,0,7416455,IRN
Iraq,2465107,25373,0,2439734,IRQ
Ireland,1687668,8293,0,1679375,IRL
Israel,4763676,12037,0,4751639,ISR
Italy,25143705,184642,0,24959063,ITA
Jamaica,152758,3461,0,149297,JAM
Japan,29234677,57274,0,29177403,JPN
Jordan,1746997,14122,0,1732875,JOR
Kazakhstan,1488306,19057,0,1469249,KAZ
Kenya,342499,5688,0,336811,KEN
S. Korea,29116800,32219,0,29084581,KOR
Kuwait,662747,2570,0,660177,KWT
Kyrgyzstan,206557,2991,0,203566,KGZ
Latvia,973830,6161,0,967669,LVA
Lebanon,1222515,10746,0,1211769,LBN
Lithuania,1288374,9481,0,1278893,LTU
Luxembourg,311746,1178,0,310568,LUX
Madagascar,67735,1416,0,66319,MDG
Malawi,88220,2685,0,85535,MWI
Malaysia,5026677,36853,0,4989824,MYS
Maldives,185678,311,0,185367,MDV
Malta,116384,815,0,115569,MLT
Mauritania,63425,997,0,62428,MRT
Mauritius,289980,1041,0,288939,MUS
Mexico,7234467,331099,0,6903368,MEX
Moldova,596550,11933,0,584617,MDA
Mongolia,1007266,2136,0,1005130,MNG
Montenegro,284756,2791,0,281965,MNE
Morocco,1271595,16294,0,1255301,MAR
Mozambique,230970,2230,0,228740,MOZ
Namibia,170295,4082,0,166213,NAM
Nepal,1001000,12019,0,988981,NPL
Netherlands,43752,280,0,43472,NLD
Netherlands,11716,39,0,11677,NLD
Netherlands,45986,299,0,45687,NLD
Netherlands,10988,89,0,10899,NLD
Netherlands,8569095,22990,0,8546105,NLD
New Zealand,6389,1,0,6388,NZL
New Zealand,501,0,0,501,NZL
New Zealand,2094354,2331,0,2092023,NZL
Nicaragua,15365,245,0,15120,NIC
Nigeria,266381,3155,0,263226,NGA
Norway,1475077,4670,0,1470407,NOR
Oman,399154,4628,0,394526,OMN
Pakistan,1575772,30636,0,1545136,PAK
Panama,1023778,8567,0,1015211,PAN
Paraguay,792215,19688,0,772527,PRY
Peru,4458643,218232,0,4240411,PER
Philippines,4064443,65385,0,3999058,PHL
Poland,6368479,118533,0,6249946,POL
Portugal,5554058,25714,0,5528344,PRT
Qatar,489428,685,0,488743,QAT
Romania,3308480,67374,0,3241106,ROU
Russia,21490515,385789,0,21104726,RUS
Rwanda,132920,1467,0,131453,RWA
Saudi Arabia,827004,9518,0,817486,SAU
Senegal,88900,1968,0,86932,SEN
Serbia,2446253,17519,0,2428734,SRB
Singapore,2202214,1711,0,2200503,SGP
Slovakia,2657292,20823,0,2636469,SVK
Slovenia,1307442,7008,0,1300434,SVN
South Africa,4049202,102568,0,3946634,ZAF
Spain,13684258,117095,0,13567163,ESP
Sri Lanka,671891,16817,0,655074,LKA
Sudan,63686,4994,0,58692,SDN
Suriname,81581,1393,0,80188,SUR
Sweden,2674862,21827,0,2653035,SWE
Switzerland,4399516,14173,0,4385343,CHE
Taiwan,8847360,15253,0,8832107,TWN
Thailand,4721808,33594,0,4688214,THA
Trinidad and Tobago,186033,4283,0,181750,TTO
Tunisia,1147571,29284,0,1118287,TUN
Turkey,16919638,101203,0,16818435,TUR
USA,100765333,1092764,0,99672569,USA
Uganda,169985,3630,0,166355,UGA
Ukraine,5662732,118689,0,5544043,UKR
UAE,1047008,2348,0,1044660,ARE
UK,3904,12,0,3892,GBR
UK,18622,153,0,18469,GBR
UK,7305,64,0,7241,GBR
UK,31472,37,0,31435,GBR
UK,0,0,0,0,GBR
UK,1930,0,0,1930,GBR
UK,20275,110,0,20165,GBR
UK,33910,66,0,33844,GBR
UK,38008,116,0,37892,GBR
UK,65130,146,0,64984,GBR
UK,1403,8,0,1395,GBR
UK,4,0,0,4,GBR
UK,2166,0,0,2166,GBR
UK,6479,36,0,6443,GBR
UK,24135080,216306,0,23918774,GBR
Uruguay,1011988,7562,0,1004426,URY
Uzbekistan,249217,1637,0,247580,UZB
Venezuela,550522,5832,0,544690,VEN
Vietnam,11525231,43186,0,11482045,VNM
Zambia,334425,4024,0,330401,ZMB
Zimbabwe,259981,5637,0,254344,ZWE
