country,cases,deaths,recovered,active,iso3
Philippines,474064,9244,439796,25024,PHL
Poland,1294878,28554,1036138,230186,POL
Portugal,413678,6906,334276,72496,PRT
Qatar,143834,245,141422,2167,QAT
Romania,632263,15767,560793,55703,ROU
Russia,3127347,56271,2527722,543354,RUS
Rwanda,8383,92,6542,1749,RWA
Saudi Arabia,362741,6223,353853,2665,SAU
Senegal,19140,410,17254,1476,SEN
Serbia,337923,3211,0,334712,SRB
Singapore,58599,29,58449,121,SGP
Slovakia,274603,2138,125971,146494,SVK
Slovenia,122152,2697,99382,20073,SVN
South Africa,1057161,28469,879671,149021,ZAF
Spain,1928265,50837,150376,1727052,ESP
Sri Lanka,43299,204,35329,7766,LKA
Sudan,25500,1468,13524,10508,SDN
Suriname,6210,122,5731,357,SUR
Sweden,437379,8727,0,428652,SWE
Switzerland,452296,7873,317600,126823,CHE
Taiwan,799,7,671,121,TWN
Thailand,6884,61,4273,2550,THA
Trinidad and Tobago,7150,127,6650,373,TTO
Tunisia,139140,4676,105364,29100,TUN
Turkey,2208652,20881,2100650,87121,TUR
USA,20219878,350604,0,19869274,USA
Uganda,35216,251,11733,23232,UGA
Ukraine,1086997,19281,736611,331105,UKR
UAE,207822,669,184442,22711,ARE
UK,13,0,12,1,GBR
UK,604,10,445,149,GBR
UK,86,1,74,11,GBR
UK,338,2,294,42,GBR
UK,0,0,2256,-2256,GBR
UK,29,0,17,12,GBR
UK,2040,7,1238,795,GBR
UK,298,16,0,282,GBR
UK,377,25,348,4,GBR
UK,2712,41,0,2671,GBR
UK,13,1,12,0,GBR
UK,0,0,0,0,GBR
UK,4,0,3,1,GBR
UK,893,6,783,104,GBR
UK,2488780,94998,0,2393782,GBR
Uruguay,19119,181,13468,5470,URY
Uzbekistan,77060,614,74943,1503,UZB
Venezuela,113558,1028,107583,4947,VEN
Vietnam,1465,35,1325,105,VNM
Zambia,20725,388,18660,1677,ZMB
Zimbabwe,13867,363,11250,2254,ZWE
