continent,cases,deaths,recovered,active,year
Africa,2511448,61481,2103710,346257,2020
Asia,20362084,332223,18868780,1161081,2020
Australia-Oceania,30636,937,24691,5008,2020
Europe,23698206,563639,11258192,11876375,2020
North America,23184897,511203,1809450,20864244,2020
South America,13199218,418164,11843822,937232,2020
