country,cases,deaths,recovered,active,iso3
China,1641,22,0,1619,CHN
China,12649,213,0,12436,CHN
China,68317,4512,0,63805,CHN
China,1222,4,0,1218,CHN
China,1186,1,0,1185,CHN
China,1625,0,0,1625,CHN
China,959,1,0,958,CHN
China,589,3,0,586,CHN
China,795,2,0,793,CHN
China,79,0,0,79,CHN
China,122,0,0,122,CHN
China,30,0,0,30,CHN
China,2219,3,0,2216,CHN
China,1043,7,0,1036,CHN
China,3103,7,0,3096,CHN
China,266,0,0,266,CHN
China,1321,3,0,1318,CHN
China,589,3,0,586,CHN
China,1,0,0,1,CHN
China,12854,254,0,12600,CHN
China,981,3,0,978,CHN
China,1817,2,0,1815,CHN
China,2016,1,0,2015,CHN
Colombia,5157440,129942,0,5027498,COL
DRC,74793,1205,0,73588,COD
Costa Rica,570556,7353,0,563203,CRI
Croatia,715245,12538,0,702707,HRV
Cuba,966004,8322,0,957682,CUB
Cyprus,166827,638,0,166189,CYP
Czechia,2475729,36129,0,2439600,CZE
Denmark,5764,14,0,5750,DNK
Denmark,2611,1,0,2610,DNK
Denmark,802397,3267,0,799130,DNK
Dominican Republic,418778,4247,0,414531,DOM
Ecuador,549418,33681,0,515737,ECU
Egypt,385575,21752,0,363823,EGY
El Salvador,121945,3824,0,118121,SLV
Estonia,241408,1932,0,239476,EST
Ethiopia,420342,6937,0,413405,ETH
Fiji,53332,698,0,52634,FJI
Finland,270829,1714,0,269115,FIN
France,47631,338,0,47293,FRA
France,46382,636,0,45746,FRA
France,55795,831,0,54964,FRA
France,48123,777,0,47346,FRA
France,21911,185,0,21726,FRA
France,12826,281,0,12545,FRA
France,76602,409,0,76193,FRA
France,1895,6,0,1889,FRA
France,100,0,0,100,FRA
France,4250,58,0,4192,FRA
France,454,7,0,447,FRA
France,9761814,121201,0,9640613,FRA
Georgia,934741,13800,0,920941,GEO
Germany,7109182,111602,0,6997580,DEU
Ghana,142986,1295,0,141691,GHA
Greece,1210853,20790,0,1190063,GRC
Guatemala,628359,16107,0,612252,GTM
Guyana,39573,1054,0,38519,GUY
Honduras,379402,10433,0,368969,HND
Hungary,1256415,39186,0,1217229,HUN
Iceland,27059,37,0,27022,ISL
India,34861579,481486,0,34380093,IND
Indonesia,4262720,144094,0,4118626,IDN
Iran,6194401,131606,0,6062795,IRN
Iraq,2093740,24158,0,2069582,IRQ
Ireland,788559,5912,0,782647,IRL
Israel,1383932,8243,0,1375689,ISR
Italy,6125683,137402,0,5988281,ITA
Jamaica,93920,2473,0,91447,JAM
Japan,1733307,18392,0,1714915,JPN
Jordan,1063405,12653,0,1050752,JOR
Kazakhstan,1072518,18211,0,1054307,KAZ
Kenya,295028,5378,0,289650,KEN
S. Korea,635253,5625,0,629628,KOR
Kuwait,417135,2468,0,414667,KWT
Kyrgyzstan,184689,2802,0,181887,KGZ
Latvia,276674,4570,0,272104,LVA
Lebanon,727930,9119,0,718811,LBN
Lithuania,524427,7397,0,517030,LTU
Luxembourg,103766,915,0,102851,LUX
Madagascar,50279,1027,0,49252,MDG
Malawi,75075,2364,0,72711,MWI
Malaysia,2758086,31487,0,2726599,MYS
Maldives,95700,262,0,95438,MDV
Malta,52473,476,0,51997,MLT
Mauritania,41473,866,0,40607,MRT
Mauritius,68480,786,0,67694,MUS
Mexico,3979723,299428,0,3680295,MEX
Moldova,376155,10275,0,365880,MDA
Mongolia,692621,1986,0,690635,MNG
Montenegro,170034,2411,0,167623,MNE
Morocco,963092,14849,0,948243,MAR
Mozambique,189080,2006,0,187074,MOZ
Namibia,147974,3633,0,144341,NAM
Nepal,828431,11594,0,816837,NPL
Netherlands,20461,181,0,20280,NLD
Netherlands,3406,23,0,3383,NLD
Netherlands,21325,189,0,21136,NLD
Netherlands,5197,75,0,5122,NLD
Netherlands,3148315,20924,0,3127391,NLD
New Zealand,2,0,0,2,NZL
New Zealand,0,0,0,0,NZL
New Zealand,14118,48,0,14070,NZL
Nicaragua,13563,217,0,13346,NIC
Nigeria,241513,3030,0,238483,NGA
Norway,394259,1305,0,392954,NOR
Oman,305489,4116,0,301373,OMN
Pakistan,1295933,28933,0,1267000,PAK
Panama,495920,7428,0,488492,PAN
Paraguay,466101,16624,0,449477,PRY
Peru,2296831,202690,0,2094141,PER
Philippines,2843979,51504,0,2792475,PHL
Poland,4108215,97054,0,4011161,POL
Portugal,1389646,18955,0,1370691,PRT
Qatar,250528,618,0,249910,QAT
Romania,1808891,58752,0,1750139,ROU
Russia,10320405,302671,0,10017734,RUS
Rwanda,111786,1350,0,110436,RWA
Saudi Arabia,556236,8877,0,547359,SAU
Senegal,75055,1890,0,73165,SEN
Serbia,1299339,12714,0,1286625,SRB
Singapore,279405,828,0,278577,SGP
Slovakia,1371082,16635,0,1354447,SVK
Slovenia,464048,5589,0,458459,SVN
South Africa,3458286,91145,0,3367141,ZAF
Spain,6294745,89405,0,6205340,ESP
Sri Lanka,587245,14979,0,572266,LKA
Sudan,46518,3331,0,43187,SDN
Suriname,52446,1189,0,51257,SUR
Sweden,1314784,15310,0,1299474,SWE
Switzerland,1332615,12217,0,1320398,CHE
Taiwan,17029,850,0,16179,TWN
Thailand,2223435,21698,0,2201737,THA
Trinidad and Tobago,91899,2869,0,89030,TTO
Tunisia,726706,25569,0,701137,TUN
Turkey,9482550,82361,0,9400189,TUR
USA,54907717,825468,0,54082249,USA
Uganda,140737,3294,0,137443,UGA
Ukraine,3847226,102088,0,3745138,UKR
UAE,761937,2164,0,759773,ARE
UK,1674,5,0,1669,GBR
UK,6420,110,0,6310,GBR
UK,3492,39,0,3453,GBR
UK,8818,11,0,8807,GBR
UK,0,0,0,0,GBR
UK,83,0,0,83,GBR
UK,8701,100,0,8601,GBR
UK,7802,24,0,7778,GBR
UK,13641,67,0,13574,GBR
UK,19002,89,0,18913,GBR
UK,46,1,0,45,GBR
UK,0,0,0,0,GBR
UK,4,0,0,4,GBR
UK,3284,26,0,3258,GBR
UK,12937886,177397,0,12760489,GBR
Uruguay,413383,6170,0,407213,URY
Uzbekistan,198903,1485,0,197418,UZB
Venezuela,444635,5328,0,439307,VEN
Vietnam,1731257,32394,0,1698863,VNM
Zambia,254274,3734,0,250540,ZMB
Zimbabwe,213258,5004,0,208254,ZWE
