country,iso3,lat,long,cases,deaths,recovered,active,critical,casesPerOneMillion,population,todayCases,todayDeaths
Gabon,GAB,-1.0,11.75,49051,307,48674,70,0,21038,2331533,0,0
Gambia,GMB,13.4667,-16.5667,12626,372,12189,65,0,4935,2558482,0,0
Georgia,GEO,42.0,43.5,1861665,17132,0,1844533,0,469082,3968738,0,0
Germany,DEU,51.0,9.0,38828995,183027,38240600,405368,0,462891,83883596,0,0
Ghana,GHA,8.0,-2.0,171889,1462,170425,2,0,5306,32395450,0,0
Gibraltar,GIB,36.1833,-5.3667,20550,113,0,20437,0,609720,33704,0,0
Greece,GRC,39.0,22.0,6101379,37869,0,6063510,0,591412,10316637,0,0
Greenland,GRL,72.0,-40.0,11971,21,2761,9189,4,210117,56973,0,0
Grenada,GRD,12.1167,-61.6667,19693,238,19358,97,4,173545,113475,0,0
Guadeloupe,GLP,16.25,-61.5833,203235,1021,0,202214,0,508349,399794,0,0
Guatemala,GTM,15.5,-90.25,1291293,20289,1269891,1113,5,69484,18584039,0,0
Guinea,GIN,11.0,-10.0,38572,468,37757,347,0,2782,13865691,0,0
Guinea-Bissau,GNB,12.0,-15.0,9614,177,8929,508,6,4659,2063367,0,0
Guyana,GUY,5.0,-59.0,74137,1300,72013,824,0,93366,794045,0,0
Haiti,HTI,19.0,-72.4167,34667,860,33734,73,0,2968,11680283,0,0
Holy See (Vatican City State),VAT,41.9,12.45,29,0,29,0,0,36295,799,0,0
Honduras,HND,15.0,-86.5,474590,11165,0,463425,0,46432,10221247,0,0
Hong Kong,HKG,22.25,114.1667,2937609,14924,2916005,6680,0,386309,7604299,0,0
Hungary,HUN,47.0,20.0,2230232,49048,2152155,29029,0,232164,9606259,0,0
Iceland,ISL,65.0,-18.0,209906,229,0,209677,0,607731,345393,0,0
India,IND,20.0,77.0,45035393,533570,0,44501823,0,32016,1406631776,0,0
Indonesia,IDN,-5.0,120.0,6829221,162063,6647104,20054,0,24466,279134505,0,0
Iran,IRN,32.0,53.0,7627186,146811,0,7480375,0,88665,86022837,0,0
Iraq,IRQ,33.0,44.0,2465545,25375,2439497,673,0,58474,42164965,0,0
Ireland,IRL,53.0,-8.0,1734582,9491,1724921,170,19,345521,5020199,0,0
Isle of Man,IMN,54.23,-4.55,38008,116,0,37892,0,443335,85732,0,0
Israel,ISR,31.5,34.75,4841772,12707,4798473,30592,0,519169,9326000,0,0
Italy,ITA,42.8333,12.8333,26723249,196487,26361218,165544,22,443445,60262770,0,0
Jamaica,JAM,18.25,-77.5,156869,3756,0,153113,0,52551,2985094,0,0
Japan,JPN,36.0,138.0,33803572,74694,0,33728878,0,269169,125584838,0,0
Jordan,JOR,31.0,36.0,1746997,14122,1731007,1868,59,169597,10300869,0,0
Kazakhstan,KAZ,48.0,68.0,1411831,13848,1383020,14963,24,73514,19205043,0,0
Kenya,KEN,1.0,38.0,344130,5689,337309,1132,0,6122,56215221,0,0
Kiribati,KIR,1.4167,173.0,5085,24,2703,2358,3,41201,123419,0,0
Kuwait,KWT,29.3375,47.6581,667158,2570,0,664588,0,152308,4380326,0,0
Kyrgyzstan,KGZ,41.0,75.0,206897,2991,196406,7500,131,30750,6728271,0,0
Lao People's Democratic Republic,LAO,18.0,105.0,218970,758,0,218212,0,29270,7481023,0,0
Latvia,LVA,57.0,25.0,982505,6715,971406,4384,0,531418,1848837,0,0
Lebanon,LBN,33.8333,35.8333,1243838,10952,1087587,145299,74,186068,6684849,0,0
Lesotho,LSO,-29.5,28.5,36138,723,25980,9435,0,16610,2175699,0,0
Liberia,LBR,6.5,-9.5,8090,295,7783,12,2,1525,5305117,0,0
Libyan Arab Jamahiriya,LBY,25.0,17.0,507274,6437,500835,2,0,72048,7040745,0,0
Liechtenstein,LIE,47.1667,9.5333,21574,94,0,21480,0,562013,38387,0,0
Lithuania,LTU,56.0,24.0,1397806,9897,1387478,431,0,525154,2661708,0,0
Luxembourg,LUX,49.75,6.1667,391232,1232,0,390000,0,609044,642371,0,0
Macao,MAC,22.1667,113.55,27673,123,3487,24063,0,41458,667490,0,0
Macedonia,MKD,41.8333,22.0,350567,9976,337068,3523,0,168436,2081304,0,0
Madagascar,MDG,-20.0,47.0,68486,1426,66862,198,0,2347,29178077,0,0
Malawi,MWI,-13.5,34.0,89535,2686,0,86849,0,4437,20180839,0,0
Malaysia,MYS,2.5,112.5,5278406,37348,5233268,7790,11,159079,33181072,0,0
Maldives,MDV,3.25,73.0,186694,316,163687,22691,25,345100,540985,0,0
Mali,MLI,17.0,-4.0,33164,743,32332,89,0,1544,21473764,0,0
Malta,MLT,35.8333,14.5833,121420,885,120149,386,0,273448,444033,0,0
Marshall Islands,MHL,9.0,168.0,16138,17,16121,0,0,268711,60057,0,0
Martinique,MTQ,14.6667,-61.0,230354,1102,0,229252,0,615777,374087,0,0
Mauritania,MRT,20.0,-12.0,63848,997,62471,380,0,13025,4901981,0,0
Mauritius,MUS,-20.2833,57.55,43025,1051,41278,696,0,33752,1274727,0,0
Mayotte,MYT,-12.8333,45.1667,42027,188,0,41839,0,146815,286259,0,0
Mexico,MEX,23.0,-102.0,7702809,334958,6899865,467986,0,58549,131562772,0,0
Micronesia,FSM,6.9167,158.25,26547,65,0,26482,0,225953,117489,0,0
Moldova,MDA,47.0,29.0,635145,12218,0,622927,0,158265,4013171,0,0
Monaco,MCO,43.7333,7.4,17181,67,0,17114,0,431868,39783,0,0
Mongolia,MNG,46.0,105.0,1011496,2284,1009212,0,0,299429,3378078,0,0
Montenegro,MNE,42.0,19.0,296542,2846,291794,1902,0,472238,627950,0,0
Montserrat,MSR,16.75,-62.2,1403,8,1376,19,0,282578,4965,0,0
Morocco,MAR,32.0,-5.0,1278992,16303,0,1262689,0,33860,37772756,0,0
Mozambique,MOZ,-18.25,35.0,233731,2250,228805,2676,11,7064,33089461,0,0
Myanmar,MMR,22.0,98.0,641873,19495,620159,2219,0,11622,55227143,0,0
N. Korea,PRK,40.0,127.0,4772813,74,4772739,0,0,183636,25990679,0,0
Namibia,NAM,-22.0,17.0,172389,4106,167099,1184,0,65451,2633874,0,0
Nauru,NRU,-0.5333,166.9167,5393,1,5347,45,0,494635,10903,0,0
Nepal,NPL,28.0,84.0,1003450,12031,991322,97,0,33199,30225582,0,0
Netherlands,NLD,52.5,5.75,8635786,22992,8612599,195,0,501747,17211447,0,0
New Caledonia,NCL,-21.5,165.5,80064,314,0,79750,0,275214,290915,0,0
New Zealand,NZL,-41.0,174.0,2621111,5697,2613791,1623,0,535117,4898203,0,0
Nicaragua,NIC,13.0,-85.0,18491,225,4225,14041,0,2728,6779100,0,0
Niger,NER,16.0,8.0,9931,312,8890,729,1,381,26083660,0,0
Nigeria,NGA,10.0,8.0,267188,3155,259953,4080,11,1233,216746934,0,0
Niue,NIU,-19.0333,-169.8667,1059,0,1056,3,0,652898,1622,0,0
Norway,NOR,62.0,10.0,1509732,6638,1503094,0,0,273930,5511370,0,0
Oman,OMN,21.0,57.0,399449,4628,0,394821,0,75028,5323993,0,0
Pakistan,PAK,30.0,70.0,1581936,30664,1538689,12583,0,6893,229488994,0,0
Palau,PLW,7.5,134.5,6290,10,6276,4,0,344979,18233,0,0
Palestine,PSE,32.0,35.25,621008,5404,615445,159,0,116173,5345541,0,0
Panama,PAN,9.0,-80.0,1059893,8727,1051102,64,16,238341,4446964,0,0
Papua New Guinea,PNG,-6.0,147.0,46864,670,46168,26,0,5043,9292169,0,0
Paraguay,PRY,-23.0,-58.0,837602,20155,0,817447,0,114648,7305843,0,0
Peru,PER,-10.0,-76.0,4572667,222161,4350506,0,4,135751,33684208,0,0
Philippines,PHL,13.0,122.0,4140383,66864,4067381,6138,0,36800,112508994,0,0
Poland,POL,52.0,20.0,6661991,120598,0,6541393,0,176524,37739785,0,0
Portugal,PRT,39.5,-8.0,5643062,28126,5614809,127,61,556484,10140570,0,0
Qatar,QAT,25.5,51.25,514524,690,513687,147,16,172664,2979915,0,0
Romania,ROU,46.0,25.0,3529735,68929,3460149,657,21,185470,19031335,0,0
Russia,RUS,60.0,100.0,24124215,402756,23545818,175641,0,165454,145805947,0,0
Rwanda,RWA,-2.0,30.0,133518,1468,132039,11,0,9817,13600464,0,0
Réunion,REU,-21.1,55.6,494595,921,0,493674,0,544672,908061,0,0
S. Korea,KOR,37.0,127.5,34571873,35934,34535939,0,0,673523,51329899,0,0
Saint Helena,SHN,-15.9333,-5.7,2166,0,2,2164,0,354211,6115,0,0
Saint Kitts and Nevis,KNA,17.3333,-62.75,6607,48,6559,0,0,122645,53871,0,0
Saint Lucia,LCA,13.8833,-61.1333,30215,410,29805,0,0,163225,185113,0,0
Saint Martin,MAF,18.11,-63.03,12324,63,0,12261,0,310194,39730,0,0
Saint Pierre Miquelon,SPM,46.8333,-56.3333,3452,2,2449,1001,0,599410,5759,0,0
Saint Vincent and the Grenadines,VCT,13.25,-61.2,9674,124,9493,57,0,86723,111551,0,0
Samoa,WSM,-13.5833,-172.3333,17006,31,1605,15370,0,84089,202239,0,0
San Marino,SMR,43.7667,12.4167,26185,128,26011,46,0,768226,34085,0,0
Sao Tome and Principe,STP,1.0,7.0,6778,80,6685,13,0,29770,227679,0,0
Saudi Arabia,SAU,25.0,45.0,841469,9646,0,831823,0,23475,35844909,0,0
Senegal,SEN,14.0,-14.0,89053,1971,87024,58,0,5044,17653671,0,0
Serbia,SRB,44.0,21.0,2615054,18057,2596608,389,0,302213,8653016,0,0
Seychelles,SYC,-4.5833,55.6667,51220,172,51048,0,0,515157,99426,0,0
Sierra Leone,SLE,8.5,-11.5,7779,126,0,7653,0,937,8306436,0,0
Singapore,SGP,1.3667,103.8,3006155,2024,3004131,0,4,505785,5943546,0,0
Sint Maarten,SXM,18.02,-63.06,11051,92,10905,54,0,251353,43966,0,0
Slovakia,SVK,48.6667,19.5,1877605,21224,1856381,0,23,343872,5460193,0,0
Slovenia,SVN,46.0,15.0,1356546,7100,1349424,22,0,652803,2078034,0,0
Solomon Islands,SLB,-8.0,159.0,25954,199,0,25755,0,35989,721159,0,0
Somalia,SOM,10.0,49.0,27334,1361,13182,12791,0,1623,16841795,0,0
South Africa,ZAF,-29.0,24.0,4076463,102595,3912506,61362,192,67095,60756135,0,0
South Sudan,SSD,6.8769,31.3069,18819,147,18115,557,1,1620,11618511,0,0
Spain,ESP,40.0,-4.0,13914811,121760,13762417,30634,231,297840,46719142,0,0
Sri Lanka,LKA,7.0,81.0,672754,16897,655852,5,0,31181,21575842,0,0
St. Barth,BLM,17.89,-62.82,5507,6,0,5501,0,553746,9945,0,0
Sudan,SDN,15.0,30.0,63993,5046,58947,0,0,1391,45992020,0,0
Suriname,SUR,4.0,-56.0,82588,1408,0,81180,0,138378,596831,0,0
Swaziland,SWZ,-26.5,31.5,75191,1427,73116,648,0,63462,1184817,0,0
